year,month,product_code,product_name,quantity_tons,import_value,customs_amount
2018,4,1001,թռչնի միս,2328.4309,1175.9982,321.458517
2018,4,1006,կարագ,360.0057,954.6587,265.668931
2018,4,1101,բանան,1771.1756,633.7709,157.103192
2018,4,1512,նարինջ,1406.599,384.4653,99.960968
2018,4,1701,ցորեն,17966.575,1474.3635,28.177194
2018,4,207,բրինձ,632.6526,156.3472,23.484349
2018,4,405,ալյուր,2602.2169,250.7036,
2018,4,803,հնդկաձավար,451.2993,57.6608,0.075709
2018,4,805,ձեթ,2646.1566,1083.6328,1.82121
2018,4,1104,մարգարին,1623.9611,901.0113,81.088442
2018,4,1517,"շաքարավազ, հումք",1288.7556,302.2034,56.673106
2018,4,1901,մանկական սնունդ,43.8099,198.2584,27.223848
2018,4,3004,դեղորայք,187.2331,3408.4889,567.100869
2018,4,2710,բենզին,12729.674,4831.1738,
2018,4,,դիզ. վառելիք,8954.346,3550.6745,
2018,5,1001,թռչնի միս,2786.5125,1269.0466,337.09161
2018,5,1006,կարագ,490.7603,1231.1231,336.730502
2018,5,1101,բանան,5165.9017,1747.5905,432.554581
2018,5,1512,նարինջ,797.129,272.1785,70.766411
2018,5,1701,ցորեն,19054.8635,1668.595,9.125619
2018,5,207,բրինձ,757.44,220.4016,39.793833
2018,5,405,ալյուր,2672.5505,246.0476,2.059561
2018,5,803,հնդկաձավար,612.9213,70.8386,0.0
2018,5,805,ձեթ,1965.8414,828.6242,6.867637
2018,5,1104,մարգարին,2115.2625,1570.9427,277.790044
2018,5,1517,"շաքարավազ, հումք",1247.1545,285.0767,36.497372
2018,5,1901,մանկական սնունդ,32.9317,139.914,19.646218
2018,5,3004,դեղորայք,116.5763,4996.5219,553.986698
2018,5,2710,բենզին,11113.264,4438.9179,1405.247051
2018,5,,դիզ. վառելիք,10514.133,4361.1261,144.691475
2018,6,1001,թռչնի միս,2347.4356,1055.5345,305.034953
2018,6,1006,կարագ,118.4316,289.2985,65.691697
2018,6,1101,բանան,1437.6926,443.3291,109.94563
2018,6,1512,նարինջ,201.36,67.0721,15.389501
2018,6,1701,ցորեն,9323.325,779.7149,37.634185
2018,6,207,բրինձ,288.211,87.6607,15.040115
2018,6,405,ալյուր,2097.9496,213.7051,1.968164
2018,6,803,հնդկաձավար,850.326,113.6874,0.0
2018,6,805,ձեթ,1748.0307,888.4024,11.712605
2018,6,1104,մարգարին,1733.5737,1056.7733,124.469196
2018,6,1517,"շաքարավազ, հումք",23071.4544,3887.5927,753.190776
2018,6,1901,մանկական սնունդ,55.8117,215.7645,18.511992
2018,6,3004,դեղորայք,139.4381,7904.0723,651.279251
2018,6,2710,բենզին,2846.197,1177.4218,67.50801
2018,6,,դիզ. վառելիք,8407.766,7904.0723,651.279251
2018,7,1001,թռչնի միս,1993.3526,821.3186,198.030439
2018,7,1006,կարագ,183.0668,468.5321,129.994807
2018,7,1101,բանան,1370.6265,438.7916,108.820307
2018,7,1701,ցորեն,26250.121,2014.3622,83.257852
2018,7,207,բրինձ,260.589,81.2426,11.347253
2018,7,405,ալյուր,2221.5926,229.6635,0.124623
2018,7,803,հնդկաձավար,218.6584,31.8685,0.0
2018,7,805,ձեթ,1935.7407,820.2341,21.38828
2018,7,1104,մարգարին,1181.1505,633.0263,36.413935
2018,7,1517,"շաքարավազ, հումք",8977.5842,1570.0543,302.35607
2018,7,1901,մանկական սնունդ,25.3229,91.7587,6.140513
2018,7,3004,դեղորայք,119.5993,3917.8706,475.786726
2018,7,2710,բենզին,12540.654,4945.4912,790.102623
2018,7,,դիզ. վառելիք,11250.372,4415.9589,0.0
2018,8,1001,թռչնի միս,2638.1546,1130.5241,316.949205
2018,8,1006,կարագ,345.0623,730.6424,158.953334
2018,8,1101,բանան,1215.5107,374.9488,92.987295
2018,8,1512,նարինջ,9.27,2.3272,0.204791
2018,8,1701,ցորեն,40445.93,3468.1075,163.578614
2018,8,207,բրինձ,515.9041,168.0089,29.453735
2018,8,405,ալյուր,3342.1155,350.326,3.00318
2018,8,803,հնդկաձավար,373.1052,47.8617,0.0
2018,8,805,ձեթ,1911.2858,800.7512,9.562961
2018,8,1104,մարգարին,1064.1943,554.0237,30.173061
2018,8,1517,"շաքարավազ, հումք",1144.0206,256.2351,40.731092
2018,8,1901,մանկական սնունդ,46.7116,216.9138,37.428984
2018,8,3004,դեղորայք,475.5507,3296.061,562.001989
2018,8,2710,բենզին,15410.993,6176.5139,889.912703
2018,8,,դիզ. վառելիք,15575.201,6253.1703,15.090508
2018,9,1001,թռչնի միս,1705.8877,786.8456,236.645774
