period_label,year_from,year_to,country_name,product_code,product_name,unit,quantity_from,value_from,quantity_to,value_to
2020-2021,2020,2021,Ալբանիա,2402,"Սիգար, սիգարիլլա, սիգարետ",հազ.հատ,,,0.2,0.0
2020-2021,2020,2021,Ալբանիա,3925,Շինարարական դետալներ պլաստմասսայից,կգ,13.5,0.7,,
2020-2021,2020,2021,Ալբանիա,8536,"Ապարատուրա Էլեկտրական` կոմուտացիայի կամ  շղթայի պաշտպանության  <= 1000 Վ լարման դեպքում; միացուցիչ օպտիկ. մանրաթելի, քուղերի կամ կաբելի համար",կգ,,,0.5,0.2
2020-2021,2020,2021,Ալբանիա,8537,"Պուլտ, բարձակ, սեղան, բաշխիչ վահան եւ այլ հիմք էլեկտրական ապարատի համար",կգ,,,0.3,0.1
2020-2021,2020,2021,Ալբանիա,9032,Սարքեր եւ ապարատուրա ավտոմատ կարգավորման կամ ղեկավարման,հատ,,,1.0,0.2
2020-2021,2020,2021,Ալժիր,8504,"Հոսանքափոխարկիչ էլեկտրական, կոճ ինդուկտիվության եւ դրոսել",հատ,,,300.0,5.9
2020-2021,2020,2021,Ալժիր,9032,Սարքեր եւ ապարատուրա ավտոմատ կարգավորման կամ ղեկավարման,հատ,,,200.0,3.2
2020-2021,2020,2021,Անգոլա,8523,"Սկավառակ, ""ինտելեկտուալ քարտ"" եւ  այլ կրիչներ ձայնի կամ այլ երեւույթի գրառման, բացի 37 խմբի արտադրանքից",հատ,1.0,0.0,,
2020-2021,2020,2021,Ավստրալիա,2001,"Բանջարեղեն, մրգեր, ընկուզեղեն պաhածոյացված քացախով",տոննա,17.9,19.6,4.1,3.5
2020-2021,2020,2021,Ավստրալիա,2002,Լոլիկի մածուկ,կգ,2808.0,4.3,993.0,0.7
2020-2021,2020,2021,Ավստրալիա,2005,Այլ բանջարեղեն պահածոյացված ոչ քացախով` չսառեցրած,տոննա,20.6,27.4,9.3,16.6
2020-2021,2020,2021,Ավստրալիա,2007,"Ջեմ, մարմելադ, մրգախյուս",կգ,264.0,0.9,90.0,0.4
2020-2021,2020,2021,Ավստրալիա,2008,"Այլ կերպ պահածոյացված միրգ, ընկուզեղեն, հատապտուղ",տոննա,21.7,38.7,8.0,17.1
2020-2021,2020,2021,Ավստրալիա,2009,Մրգահյութեր եւ բանջարեղենի հյութեր,կգ,474.3,0.8,17585.7,21.4
2020-2021,2020,2021,Ավստրալիա,2103,Սոուս պատրաստելու մթերք եւ պատրաստի սոուս; մանանեխ,կգ,624.4,2.2,3165.2,8.0
2020-2021,2020,2021,Ավստրալիա,2202,"Ջրեր` հանքային եւ գազավորած` քաղցրացրած, այլ ոչ ալկոհոլային խմիչք",լիտր,2.5,0.0,2553.0,1.7
2020-2021,2020,2021,Ավստրալիա,2203,Գարեջուր ածիկային,հազ.լ,1.2,1.5,6.6,8.1
