period_label,year_from,year_to,product_code,product_name,unit,quantity_from,value_from,quantity_to,value_to
2020-2021,2020,2021,0101,"Ձիեր, ավանակներ, ջորիներ կենդանի",հազ.հատ,27.5,23.6,0.0,0.0
2020-2021,2020,2021,0102,Խոշոր եղջրավոր անասուններ կենդանի,հազ.հատ,13.1,4742.6,34.1,12678.6
2020-2021,2020,2021,0104,"Ոչխարներ, այծեր կենդանի",հազ.հատ,113.2,10804.2,108.5,10570.7
2020-2021,2020,2021,0106,Այլ կենդանի կենդանիներ,հատ,260.0,18.6,253.0,18.7
2020-2021,2020,2021,0201,Խոշոր եղջրավոր անասունի միս թարմ կամ պաղեցրած,կգ,220.0,10.1,0.0,0.0
2020-2021,2020,2021,0202,Խոշոր եղջրավոր անասունի միս` սառեցրած,կգ,0.0,0.0,14.0,0.0
2020-2021,2020,2021,0203,Խոզի միս,տոննա,0.0,0.0,11.9,23.7
2020-2021,2020,2021,0204,Ոչխարի կամ այծի միս,տոննա,8.4,33.9,40.1,262.4
2020-2021,2020,2021,0206,"Խոշոր եղջրավոր անասունի, խոզի, ոչխարի, այծի, ձիու, ավանակի, ջորու մսամթերք",տոննա,27.5,13.4,0.0,0.0
2020-2021,2020,2021,0207,Ընտանի թռչնի միս եւ մսամթերք,տոննա,1.6,1.8,0.0,0.0
2020-2021,2020,2021,0209,Խոզի եւ ընտանի թռչնի ճարպ,տոննա,24.6,43.8,0.0,0.0
2020-2021,2020,2021,0301,Ձուկ կենդանի,տոննա,268.1,1217.7,500.8,2450.6
2020-2021,2020,2021,0302,"Ձուկ թարմ կամ պաղեցրած, բացի 0304 դիրքի",տոննա,9255.6,47120.3,8982.8,55742.3
2020-2021,2020,2021,0303,"Ձուկ սառեցրած, բացի 0304 դիրքի",տոննա,239.1,1122.0,1110.9,4865.5
2020-2021,2020,2021,0304,Ձկան սուկի եւ այլ ձկնամիս,տոննա,3.8,34.1,14.0,147.7
2020-2021,2020,2021,0305,Ձուկ` մշակած; ձկնալյուր եւ հատիկներ,տոննա,33.4,197.1,138.0,151.7
