period_label,year_from,year_to,product_code,product_name,unit,quantity_from,value_from,quantity_to,value_to
2020-2021,2020,2021,0101,"Ձիեր, ավանակներ, ջորիներ կենդանի",հատ,0.0,0.0,160.0,64.7
2020-2021,2020,2021,0102,Խոշոր եղջրավոր անասուններ կենդանի,հատ,968.0,1894.6,834.0,2205.8
2020-2021,2020,2021,0103,Խոզեր կենդանի,հատ,129.0,61.2,2323.0,319.2
2020-2021,2020,2021,0104,"Ոչխարներ, այծեր կենդանի",հազ.հատ,4.4,1036.3,4.1,492.2
2020-2021,2020,2021,0105,Ընտանի թռչուններ կենդանի,հազ.հատ,6142.7,3306.6,6203.1,4032.7
2020-2021,2020,2021,0106,Այլ կենդանի կենդանիներ,հազ.հատ,47899.9,718.2,1896694.7,1021.6
2020-2021,2020,2021,0201,Խոշոր եղջրավոր անասունի միս թարմ կամ պաղեցրած,տոննա,2.3,33.5,1.5,30.8
2020-2021,2020,2021,0202,Խոշոր եղջրավոր անասունի միս` սառեցրած,տոննա,3880.2,11767.1,4582.1,13940.8
2020-2021,2020,2021,0203,Խոզի միս,տոննա,5895.3,10827.1,9713.6,19644.6
2020-2021,2020,2021,0204,Ոչխարի կամ այծի միս,կգ,1739.8,9.8,148.0,4.5
2020-2021,2020,2021,0206,"Խոշոր եղջրավոր անասունի, խոզի, ոչխարի, այծի, ձիու, ավանակի, ջորու մսամթերք",տոննա,21238.9,714.5,1268.5,1239.2
2020-2021,2020,2021,0207,Ընտանի թռչնի միս եւ մսամթերք,տոննա,36553.1,30579.0,38454.9,44173.1
2020-2021,2020,2021,0208,Այլ մսեղեն եւ մսամթերք,կգ,11.0,0.1,96.5,2.1
2020-2021,2020,2021,0209,Խոզի եւ ընտանի թռչնի ճարպ,տոննա,2614.2,3166.6,2366.7,2718.6
2020-2021,2020,2021,0210,Միս եւ մսամթերք` մշակած; սննդալյուր մսից կամ մսամթերքից,տոննա,7.7,72.6,51.1,237.1
2020-2021,2020,2021,0301,Ձուկ կենդանի,տոննա,5.8,25.5,2.4,24.9
2020-2021,2020,2021,0302,"Ձուկ թարմ կամ պաղեցրած, բացի 0304 դիրքի",տոննա,65.7,629.2,436.6,2743.3
2020-2021,2020,2021,0303,"Ձուկ սառեցրած, բացի 0304 դիրքի",տոննա,958.3,1808.1,1355.8,4595.8
2020-2021,2020,2021,0304,Ձկան սուկի եւ այլ ձկնամիս,տոննա,24.7,147.5,105.4,431.6
