year,exports,imports,balance,turnover
2002,507934.2111,1039008.7101,-531074.4990000001,1546942.9212
2003,679614.4185,1279528.8661,-599914.4476,1959143.2846
2004,727201.24,1362694.0,-635492.76,2089895.24
2005,1027805.7924,1848886.6392,-821080.8468,2876692.4316000002
2006,997709.4,2193726.3478,-1196016.9478000002,3191435.7478
2007,1154274.0,3283861.0,-2129587.0,4438135.0
2008,1060269.0,4470842.0,-3410573.0,5531111.0
2009,768154.0,3318758.0,-2550604.0,4086912.0
2010,1019099.0,3790526.0,-2771426.0,4809625.0
2011,1337057.0,4155857.0,-2818800.0,5492914.0
2012,1361384.0,4284926.0,-2923542.0,5646310.0
2013,1478736.0,4488752.0,-3010016.0,5967488.0
2014,1507259.0,4438391.0,-2931132.0,5945650.0
2015,1473090.0,3373695.0,-1900605.0,4846785.0
2016,1770378.0,3319689.0,-1549311.0,5090067.0
2017,2235494.0,4182444.0,-1946951.0,6417938.0
2018,2406912.0,4965416.0,-2558504.0,7372328.0
2019,2636616.0,5553273.0,-2916656.0,8189889.0
2020,2513735.0,4586473.0,-2072738.0,7100208.0
2021,2989507.0,5353101.0,-2363594.0,8342608.0
