"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"MATERIALS WITH
            SMUGGLING FEATURES
            SENT BY JURISDICTION 
            /QUANTITY, VALUE/","ADMINISTRATIVE FINE FOR
            THE CASES OF CUSTOMS
            RULES VIOLATION QUANTITY
            OF CASES, AMOUNT/","LEVIED ADMINISTRATIVE
            FINE / QUANTITY, AMOUNT /","NOT LEVIED ADMINISTRATIVE FINE AND SUBJECT TO CONFISCATION IN
            JUDICIAL ORDER /QUANTITY
            OF CASES, AMOUNT /","PARTIALLY PAID CUSTOMS PAYMENTS RESTORED BY DISMISSED ADMINISTRATIVE PROCEDURE/QUANTITYOF CASES, AMOUNT /"
"December, 2019","","","",""
"-","27 cases-35.603.543 AMD","10 cases-1.808.050 AMD","17 cases-33.795.793 AMD","3 cases-0 AMD"
"November, 2019","","","",""
"-","22 cases-13.617.646 AMD","10 cases-3.830.247 AMD","12 cases-9.787.399 AMD","3 cases-0 AMD"
"October, 2019","","","",""
"-","19 cases-33.807.768 AMD","11 cases-8.932.232 AMD","8 cases-24.875.536 AMD","1 cases-0 AMD"
"September, 2019","","","",""
"-","23 cases-25.065.602 AMD","5 cases-3.853.660 AMD","18 cases-21.211.842 AMD","4 cases-0 AMD"
"August, 2019","","","",""
"-","19 cases-5.812.595 AMD","5 cases-700.970 AMD","14 cases-5.111.625 AMD","5 cases-0 AMD"
"July, 2019","","","",""
"-","28 cases-41.242.027 AMD","7 cases-3.911.831 AMD","21 cases-37.330.196 AMD","2 cases-0 AMD"
"June, 2019","","","",""
"-","13 cases-15.115.327 AMD","7 cases-3.114.521 AMD","6 cases-12.000.806 AMD","8 cases-0 AMD"
"May, 2019","","","",""
"-","27 cases-14.111.746 AMD","8 cases-2.960.950.866 AMD","19 cases-11.150.796 AMD","2 cases-0 AMD"
"April, 2019","","","",""
"-","23 cases-13.763.644 AMD","13 cases-2.142.667 AMD","10 cases-11.620.977 AMD","2 cases-0 AMD"
"March, 2019","","","",""
"-","15 cases-24.524.715 AMD","5 cases-719.866 AMD","10 cases-23.804.849 AMD","3 cases-0 AMD"
"February, 2019","","","",""
"-","15 cases-27.833.315 AMD","3 cases-262.630 AMD","12 cases-27.570.685 AMD","2 cases-0 AMD"
"January, 2019","","","",""
"-","15 cases-9.119.071 AMD","7 cases-6.751.932 AMD","8 cases-2.367.139 AMD","3 cases-0 AMD"
"December, 2018","","","",""
"-","33 cases-8.016.333 AMD","17 cases-895.258 AMD","16 cases-7.121.075 AMD","6 cases-25.253.550 AMD"
"November, 2018","","","",""
"-","47 cases-37.107.809 AMD","29 cases-5.883.665 AMD","17 cases-31.224.144 AMD","15 cases-0 AMD"
"October, 2018","","","",""
"-","0 cases-0 AMD","0 cases-0 AMD","0 cases-0 AMD","0 cases-0 AMD"
"September, 2018","","","",""
"-","23 cases-10.114.779 AMD","14 cases-5.744.939 AMD","9 cases-4.304.185 AMD","2 cases-5.912.811 AMD"
"August, 2018","","","",""
"-","30 cases-39.737.530 AMD","20 cases-7.051.536 AMD","10 cases-32.685.994 AMD","7 cases-12.294.026 AMD"
"July, 2018","","","",""
"-","15 cases-5.1699.549 AMD","13 cases-3.688.853 AMD","2 cases-1.480.696 AMD","4 cases-5.445.470 AMD"
"June, 2018","","","",""
"-","16 cases-5.509.672 AMD","8 cases-2.467.998 AMD","8 cases-3.041.684 AMD","5 cases-6.560.308 AMD"
"April, 2018","","","",""
"-","29 cases-5.779.251 AMD","20 cases-1.784.431 AMD","5 cases-3.994.820 AMD","4 cases-192.162.927 AMD"
"March, 2018","","","",""
"-","39 cases-135.040.512 AMD","30 cases-27.169.280 AMD","7 cases-5.713.206 AMD","2 cases-102.068.026 AMD"
"February, 2018","","","",""
"-","19 cases-36.041.206 AMD","6 cases-19.180.623 AMD","13 cases-16.860.583 AMD","1 cases-3.023.879 AMD"
"January, 2018","","","",""
"-","9 cases-18.750.010 AMD","7 cases-14.753.413 AMD","2 cases-3.996.690 AMD","1 cases-2.819.496 AMD"
"December, 2017","","","",""
"-","0 cases - 0 AMD","0 cases - 0 AMD","0 cases – 0 AMD","0 cases – 0 AMD"
"November, 2017","","","",""
"-","32 cases - 10574236 AMD","17 cases - 7166181 AMD","5 cases – 3408055 AMD","0 cases – 0 AMD"
"October, 2017","","","",""
"-","35 cases - 6434280 AMD","15 cases - 6384280 AMD","1 cases – 50000 AMD","17 cases – 0 AMD"
"September, 2017","","","",""
"-","0 cases - 0 AMD","0 cases - 0 AMD","0 cases – 0 AMD","0 cases - 0 AMD"
"August, 2017","","","",""
"-","29 cases - 7.253.739 AMD","10 cases - 1.545.738 AMD","0 cases – 0 AMD","2 cases – 0 AMD"
"July, 2017","","","",""
"-","19 cases - 4.206.219 AMD","13 cases - 4.206.219 AMD","3 cases – 03.226.975 AMD","2 cases – 0 AMD"
"June, 2017","","","",""
"-","10 cases - 954.171AMD","10 cases - 954.171 AMD","0 cases – 0 AMD","4 cases – 0 AMD"
"May, 2017","","","",""
"-","15 cases - 34.983.530 AMD","10 cases - 2.716.735 AMD","5 cases – 33.259.800AMD","3 cases – 0 AMD"
"April, 2017","","","",""
"-","13 cases - 13.512.841 AMD","8 cases - 12.481.141 AMD","2 cases – 11.339.003 AMD","2 ceses - 0 AMD"
"March, 2017","","","",""
"-","37 cases - 25.917.984 AMD","16 cases - 3.182.758AMD","1 cases - 12.075.730AMD","3 cases - 0 AMD"
"February, 2017","","","",""
"-","5 cases - 250.000 AMD","5 cases - 250.000 AMD","-","1cases - 11.059.051AMD"
"January, 2017","","","",""
"-","14 cases - 29.697.645 AMD","10 cases - 10.383.566 AMD","4 cases – 19.314.079 AMD","1 cases – 32.417.609 AMD"
"December, 2016","","","",""
"-","2 cases - 150.000 AMD","3 cases - 100.870 AMD","1 cases - 17.572.325 AMD","-"
"November, 2016","","","",""
"-","15 cases - 67.961.134 AMD","12 cases - 17.821.482 AMD","3 cases - 50.139.652 AMD","2 cases - 30.571.086 AMD"
"October, 2016","","","",""
"-","15 cases - 19.215.404 AMD","10 cases - 4.107.316 AMD","5 cases - 15.108.088 AMD","1 cases - 674.418 AMD"
"September, 2016","","","",""
"-","16 cases - 13.535.114 AMD","12 cases - 6.249.436 AMD","4 cases - 7.285.678 AMD","1 cases - 489.986 AMD"
"August, 2016","","","",""
"-","36 cases - 91.953.222 AMD","23 cases - 8.354.303 AMD","13 cases - 83.599.919 AMD","-"
"July, 2016","","","",""
"-","64 cases - 231.231.264 AMD","40 cases - 41.176.798 AMD","24 cases - 190.054.767 AMD","-"
"June, 2016","","","",""
"-","11 cases - 800.067 AMD","9 cases - 650.067 AMD","2 cases - 150.000 AMD","-"
"May, 2016","","","",""
"5 cases","13 cases – 5.603.698  AMD","13 cases – 5.603.698  AMD","-","-"
"April, 2016","","","",""
"9 cases - 115.247.105 AMD","12 cases – 1.130.592  AMD","12 cases – 1.130.592  AMD","-","-"
"March 2016","","","",""
"1 materials - 1.564.000 AMD","18 cases - 1.769.782 AMD","18 cases – 1.769.782 AMD","-","-"
"February 2016","","","",""
"-","19 cases – 1.977.666 AMD","18 cases - 1.044.993 AMD","1 cases – 932.673 AMD","-"
"January 2016","","","",""
"1 materials","8 cases – 1.213.417  AMD","6 cases – 390.000 AMD","2 cases  - 823.417 AMD","-"
"December 2015","","","",""
"5 cases – 7 034 360 AMD","1 cases – 144 410 AMD","1 cases – 144 410 AMD","-","-"
"November 2015","","","",""
"1 cases","6 cases – 2 856 510 AMD","5 cases – 2 700 510 AMD","1 cases – 156 000 AMD","-"
"October 2015","","","",""
"3 cases","6 cases – 528 897 AMD","6 cases – 528 897 AMD","-","-"
"September 2015","","","",""
"3 cases","4 cases    - 292 100 AMD","3 cases  - 150 000 AMD","1 cases – 142 100 AMD","1 cases – 211 233 AMD"
"August 2015","","","",""
"6 cases","13 cases  - 857 653 AMD","13 cases  - 857 653 AMD","-","-"
"July 2015","","","",""
"7 cases","8 cases – 711 694 AMD","8 cases – 711 694 AMD","-","-"
"June 2015","","","",""
"1 cases","6 cases  - 905 570 AMD","5 cases  - 250000 AMD","1 cases – 655 570 AMD","-"
"May 2015","","","",""
"1 cases – 10 688 000 AMD","8 cases  – 841 432 AMD","7 cases    - 518 780 AMD","1 cases – 322 652 AMD","-"
"April 2015","","","",""
"1 cases","8 cases – 1 257 462 AMD","5 cases – 459 337 AMD","3 cases – 898 125 AMD","-"
"March 2015","","","",""
"24 materials","11 cases - 26 354 880 AMD","10 cases – 715 353 AMD","1 cases – 25 639 527 AMD","-"
"February 2015","","","",""
"22 materials – 122 775 810 AMD","9 cases – 1 579 798 AMD","8 cases - 975 475 AMD","1 cases – 604 323 AMD","-"
"January 2015","","","",""
"2 materials – 5 305 882  AMD","12 cases – 14 089 051 AMD","8 cases – 5 252 777 AMD","4 cases  - 8 836 272 AMD","-"
"December 2014","","","",""
"13 cases - 86 071 784 AMD","11 cases - 91 832 352 AMD","5 cases - 376 218 AMD","6 cases - 91 456 134 AMD","1 cases - 49 991 000"
"November 2014","","","",""
"5 cases - 55 332 955 AMD","7 cases - 2 602 741 AMD","3 cases - 615 223 AMD","4 cases - 1 984 518 AMD","-"
"October 2014","","","",""
"6 cases - 11 835 576 AMD","6 cases - 6 552 766 AMD","6 cases - 6 552 766 AMD","-","1 cases - 764 804 AMD"
"September 2014","","","",""
"2 cases - 5 049 056 AMD","5 cases - 3 737 164 AMD","3 cases - 171 517 AMD","2 cases - 3 565 647 AMD","-"
"August 2014","","","",""
"-","8 cases - 1 623 661 AMD","6 cases - 966 045 AMD","2 cases - 657 616 AMD","-"
"July 2014","","","",""
"1 cases - 1 003 088 AMD","15 cases - 7 447 104 AMD","13 cases - 5 103 923 AMD","2 cases - 2 343 181 AMD","2 cases - 9 076 166 AMD"
"June 2014","","","",""
"2 cases - 30 055 169 AMD","9 cases - 36 843 216 AMD","12 cases - 55 023 995 AMD","1 cases - 324 728 AMD","1 cases - 93 319 296 AMD"
"May 2014","","","",""
"9 cases - 75 939 661 AMD","10 cases - 20 720 316 AMD","4 cases - 867 627 AMD","6 cases - 19 852 689 AMD","2 cases - 14 570 855 AMD"
"April 2014","","","",""
"6 cases - 31 085 148 AMD","18 cases - 4 118 081 AMD","16 cases- 3 464 319 AMD","2 cases - 653 762 AMD","4 cases - 37 805 175 AMD"
"March 2014","","","",""
"24 materials - 107496 075 AMD","14 cases - 12 336 810 AMD","8 cases- 1 025 510 AMD","6 cases - 11 311 300 AMD","-"
"February 2014","","","",""
"49 cases - 548,999,306 AMD","9 cases - 1,353,148 AMD","8 cases - 938,595 AMD","-","-"
"January 2014","","","",""
"4 materials - 349 692 829 AMD","7 cases - 1 670 657 AMD","5 cases - 849 942 AMD","-","1 cases - 892 490 AMD"
"December 2013","","","",""
"29 materials - 616 120 499 AMD","2 cases- 58 119 AMD","2 cases - 58 119 AMD","-","0 cases - 0 AMD"
"November 2013","","","",""
"10 materials - 272 890 310 AMD","8 cases- 885 861 AMD","6 cases - 221 373 AMD","-","3 cases - 14 462 247 AMD"
"October 2013","","","",""
"4 materials - 3 784 000 AMD","7 cases- 7 510 298 AMD","6 cases - 7 253 378 AMD","-","4 cases - 3 534 331 AMD"
"September 2013","","","",""
"17 materials - 142 669 812 AMD","19 cases- 9 125 085 AMD","14 cases - 6 437 282 AMD","-","0 cases - 0 AMD"
"August 2013","","","",""
"4 materials - 18 016 099 AMD","4 cases- 383 024 AMD","3 cases - 241 076 AMD","-","0 cases - 0 AMD"
"July 2013","","","",""
"5 materials -14 722 658 AMD","11 cases- 561 228 753 AMD","10 cases - 10 371 895 AMD","-","4 cases - 119 031 847 AMD"
"June 2013","","","",""
"4 materials - 61 426 395 AMD","9 cases- 4 171 188 AMD","5 cases - 553 103 AMD","-","4 cases - 17 882 477 AMD"
"May 2013","","","",""
"3 materials - 6 242 919 AMD","10 cases- 1 636 071 AMD","9 cases - 1 544 046 AMD","-","2 cases - 2 149 295 AMD"
"April 2013","","","",""
"9 materials - 8 670 501 AMD","13 cases- 6 975 477 AMD","11 cases - 962 597 AMD","-","1 cases - 873 426 AMD"
"March 2013","","","",""
"3 materials - 8 669 347 AMD","13 cases- 9 350 209 AMD","9 cases - 7 565 849 AMD","-","4 cases - 5 291 648 AMD"
"February 2013","","","",""
"4 materials - 41 792 272 AMD","8 cases- 1 193 093 AMD","7 cases - 882 638 AMD","-","2 cases - 8 828 144 AMD"
"January 2013","","","",""
